id,japanese_notation,name_order,universal_notation,russian_notation,title
1,アダム・クーパー,アダムクーパー,Adam Cooper,,アダム・クーパー
2,アニエス・ルテステュ,アニエスルテステュ,Agnes Letestu,,アニエス・ルテステュ
3,アリーナ・コジョカル,アリーナコジョカル,Alina Cojocaru,,アリーナ・コジョカル
4,アリーナ・ソーモワ,アリーナソーモワ,Alina Somova,Алина Сомова,アリーナ・ソーモワ
5,アリシア・アロンソ,アリシアアロンソ,Alicia Alonso,,アリシア・アロンソ
6,アレッサンドラ・フェリ,アレッサンドラフェリ,Alessandra Ferri,,アレッサンドラ・フェリ
7,アンソニー・ダウエル,アンソニーダウエル,Anthony Dowell,,アンソニー・ダウエル
8,アンナ・パブロワ,アンナパブロワ,Anna Pavlova,Анна Павлова,アンナ・パブロワ
9,アンヘル・コレーラ,アンヘルコレーラ,Angel Corella,,アンヘル・コレーラ
10,イーゴリ・コルプ,イーゴリコルプ,Igor Korb,Игорь Колб,イーゴリ・コルプ
11,イーゴリ・ゼレンスキー,イーゴリゼレンスキー,Igor Zelenski,Игорь Зеленский,イーゴリ・ゼレンスキー
12,イーサン・スティーフィル,イーサンスティーフィル,Ethan Stiefel,,イーサン・スティーフィル
13,イレク・ムハメドフ,イレクムハメドフ,Irek Mukhamedov,Ирек Мухамедов,イレク・ムハメドフ
14,イワン・ワシリーエフ,イワンワシリーエフ,Ivan Vasiliev,Иван Васильев,イワン・ワシリーエフ
15,ヴァーツラフ・ニジンスキー,ヴァーツラフニジンスキー,Vaslav Fomich Nijinsky,Вацлав Нижинский,ヴァーツラフ・ニジンスキー
16,ウラジーミル・シクリャーロフ,ウラジーミルシクリャーロフ,Vladimir Shklyarov,Владимир Шкляров,ウラジーミル・シクリャーロフ
17,ウラジーミル・マラーホフ,ウラジーミルマラーホフ,Vladimir Malakhov,Володимир Малахов,ウラジーミル・マラーホフ
18,ウラジーミル・ワシリーエフ,ウラジーミルワシリーエフ,Vladimir Vasiliev,Владимир Васильев,ウラジーミル・ワシリーエフ
19,ウラディスラフ・ラントラートフ,ウラディスラフラントラートフ,Vladislav Lantratov,Владислав Лантратов,ウラディスラフ・ラントラートフ
20,ウリヤーナ・ロパートキナ,ウリヤーナロパートキナ,Ulyana Lopatkina,Ульяна Лопаткина,ウリヤーナ・ロパートキナ
21,エカテリーナ・マクシーモワ,エカテリーナマクシーモワ,Ekaterina Maximova,Екатерина Максимова,エカテリーナ・マクシーモワ
22,エフゲーニャ・オブラスツォーワ,エフゲーニャオブラスツォーワ,Evgenia Obraztsova,Евгения Образцова,エフゲーニャ・オブラスツォーワ
23,エルヴェ・モロー,エルヴェモロー,Hervé Moreau,,エルヴェ・モロー
24,,エルマンコルネホ,Herman Cornejo,,エルマン・コルネホ
25,オーレリー・デュポン,オーレリーデュポン,Aurélie Dupont,,オーレリー・デュポン
26,オニール八菜,オニールハナ,Hannah O'Neill,,オニール八菜
27,オリガ・スミルノワ,オリガスミルノワ,Olga Smirnova,Ольга Смирнова,オリガ・スミルノワ
28,カルロス・アコスタ,カルロスアコスタ,Carlos Acosta,,カルロス・アコスタ
29,キム・キミン,キムキミン,Kimin Kim,Кимин Ким,キム・キミン
30,サラ・ラム,サララム,Sarah Lamb,Сара Лэмб,サラ・ラム
31,,ジェルシーカークランド,Gelsey Kirkland,,ジェルシー・カークランド
32,ジジ・ジャンメール,ジジジャンメール,Zizi Jeanmaire,,ジジ・ジャンメール
33,ジュリー・ケント,ジュリーケント,Julie Kent,,ジュリー・ケント
34,ジョゼ・マルティネス,ジョゼマルティネス,Jose Martinez,,ジョゼ・マルティネス
35,ジョナサン・コープ,ジョナサンコープ,Jonathan Cope,,ジョナサン・コープ
36,ジョルジュ・ドン,ジョルジュドン,Jorge Donn,,ジョルジュ・ドン
37,ジリアン・マーフィー,ジリアンマーフィー,Gillian Murphy,,ジリアン・マーフィー
38,ジル・ロマン,ジルロマン,Gil Roman,,ジル・ロマン
39,シルヴィ・ギエム,シルヴィギエム,Sylvie Guillem,,シルヴィ・ギエム
40,シンシア・ハーヴェイ,シンシアハーヴェイ,Cynthia Harvey,,シンシア・ハーヴェイ
41,スヴェトラーナ・ザハロワ,スヴェトラーナザハロワ,Svetlana Zakharova,Светлана Захарова,スヴェトラーナ・ザハロワ
42,セルゲイ・ポルーニン,セルゲイポルーニン,Sergei Polunin,Сергей Полунин,セルゲイ・ポルーニン
43,ダーシー・バッセル,ダーシーバッセル,Darcey Bussell,,ダーシー・バッセル
44,ダニール・シムキン,ダニールシムキン,Daniil Simkin,Даниил Симкин,ダニール・シムキン
45,タマラ・ロホ,タマラロホ,Tamara Rojo,,タマラ・ロホ
46,ディアナ・ヴィシニョーワ,ディアナヴィシニョーワ,Diana Vishneva,Диана Вишнёва,ディアナ・ヴィシニョーワ
47,デヴィッド・ホールバーグ,デヴィッドホールバーグ,David Hallberg,,デヴィッド・ホールバーグ
48,デニス・マトヴィエンコ,デニスマトヴィエンコ,Denis Matvienko,Денис Матвиенко,デニス・マトヴィエンコ
49,ドロテ・ジルベール,ドロテジルベール,Dorothée Gilbert,,ドロテ・ジルベール
50,ナタリア・オシポワ,ナタリアオシポワ,Natalia Osipova,Наталья Осипова,ナタリア・オシポワ
51,,ナタリアマカロワ,Natalia Makarova,Наталья Макарова,ナタリア・マカロワ
52,ニーナ・アナニアシヴィリ,ニーナアナニアシヴィリ,Nina Ananiashvili,Нина Ананиашвили,ニーナ・アナニアシヴィリ
53,ニコラ・ル・リッシュ,ニコラルリッシュ,Nicolas Le Riche,,ニコラ・ル・リッシュ
54,ニコライ・ツィスカリーゼ,ニコライツィスカリーゼ,Nikolai Tsiskaridze,Николай Цискаридзе,ニコライ・ツィスカリーゼ
55,パトリック・デュポン,パトリックデュポン,Patrick Dupond,,パトリック・デュポン
56,バンジャマン・ペッシュ,バンジャマンペッシュ,Benjamin Pech,,バンジャマン・ペッシュ
57,ファルフ・ルジマトフ,ファルフルジマトフ,Farukh Ruzimatov,Фарух Рузиматов,ファルフ・ルジマトフ
58,フランチェスカ・ヘイワード,フランチェスカヘイワード,Francesca Hayward,,フランチェスカ・ヘイワード
59,フリオ・ボッカ,フリオボッカ,Julio Bocca,,フリオ・ボッカ
60,ホセ・カレーニョ,ホセカレーニョ,Jose Carreno,,ホセ・カレーニョ
61,ポリーナ・セミオノワ,ポリーナセミオノワ,Polina Semionova,Полина Семенова,ポリーナ・セミオノワ
62,マーゴット・フォンティーン,マーゴットフォンティーン,Margot Fonteyn,,マーゴット・フォンティーン
63,マシュー・ゴールディン,マシューゴールディン,Matthew Golding,,マシュー・ゴールディン
64,マチュー・ガニオ,マチューガニオ,Mathieu Ganio,Матье Ганио,マチュー・ガニオ
65,マニュエル・ルグリ,マニュエルルグリ,Manuel Legris,,マニュエル・ルグリ
66,マリア・ホーレワ,マリアホーレワ,Maria Khoreva,Мария Хорева,マリア・ホーレワ
67,マリアネラ・ヌニェス,マリアネラヌニェス,Marianela Nunez,,マリアネラ・ヌニェス
68,マルセロ・ゴメス,マルセロゴメス,Marcelo Gomes,,マルセロ・ゴメス
69,ミスティ・コープランド,ミスティコープランド,Misty Copeland,,ミスティ・コープランド
70,ミハイル・バリシニコフ,ミハイルバリシニコフ,Mikhail Baryshnikov,Михаил Барышников,ミハイル・バリシニコフ
71,モニク・ルディエール,モニクルディエール,Monique Loudières,,モニク・ルディエール
72,ヨハン・コボー,ヨハンコボー,Johan Kobborg,,ヨハン・コボー
73,ルドルフ・ヌレエフ,ルドルフヌレエフ,Rudolf Khametovich Nureyev,Рудольф Нуреев,ルドルフ・ヌレエフ
74,レオニード・サラファーノフ,レオニードサラファーノフ,Leonid Sarafanov,Леонид Сарафанов,レオニード・サラファーノフ
75,,レスリーコリア,Lesley Collier,,レスリー・コリア
76,ローラン・イレール,ローランイレール,Laurent Hilaire,,ローラン・イレール
77,ローランド・サラビア,ローランドサラビア,Rolando Sarabia,,ローランド・サラビア
78,ローレン・カスバートソン,ローレンカスバートソン,Lauren Cuthbertson,,ローレン・カスバートソン
79,ロベルト・ボッレ,ロベルトボッレ,Roberto Bolle,,ロベルト・ボッレ
80,ワディム・ムンタギロフ,ワディムムンタギロフ,Vadim Muntagirov,Вадим Мунтагиров,ワディム・ムンタギロフ
81,熊川哲也,クマカワテツヤ,Tetsuya Kumakawa,Тецуя Кумакава,熊川哲也
82,遅沢佑介,オソザワユウスケ,Yusuke Osozawa,,遅沢佑介
83,中村祥子,ナカムラショウコ,Shoko Nakamura,,中村祥子
