id,japanese_notation,wikipedia_path,universal_notation,russian_notation,name_order
1,白鳥の湖,白鳥の湖,Swan Lake,Лебединое озеро,はくちょうのみずうみ
2,海賊,海賊_(バレエ),Le Corsaire,Ле Корсар,かいぞく
3,くるみ割り人形,くるみ割り人形,The Nutcracker,Щелкунчик,くるみわりにんぎょう
4,コッペリア,コッペリア,Coppelia,Коппелия,こっぺりあ
5,ジゼル,ジゼル,Giselle,Жизель,じぜる
6,ドン・キホーテ,ドン・キホーテ_(バレエ),Don Quixote,Дон Кихот,どん・きほーて
7,眠れる森の美女,眠れる森の美女_(チャイコフスキー),The Sleeping Beauty,Спящая красавица,ねむれるもりのびじょ
8,ラ・バヤデール,ラ・バヤデール,La Bayadera,Баядерка,ら・ばやでーる
9,パキータ,パキータ,Paquita,,ぱきーた
10,ロミオとジュリエット,ロミオとジュリエット,Romeo and Juliet,Ромео и Джульетта,ろみおとじゅりえっと
11,シンデレラ,シンデレラ_(プロコフィエフ),Cinderella,Золушка,しんでれら
12,アレルキナーダ,アレルキナーダ,Harlequinade,Арлекинада,あれるきなーだ
13,エスメラルダ,エスメラルダ_(バレエ),Esmeralda,эсмеральда,えすめらるだ
14,グラン・パ・クラシック,グラン・パ・クラシック,Grand Pas Classique,Классическое па-де-де,ぐらん・ぱ・くらしっく
15,シルヴィア,シルヴィア_(バレエ),Sylvia,,しるゔぃあ
16,ゼンツァーノの花祭り,ゼンツァーノの花祭り,Flower Festival in Genzano,Фестиваль цветов в Джензано,ぜんつぁーののはなまつり
17,ディアナとアクティオン,カンダウレス王_(バレエ),Diana and Actaeon,Диана и Актеон,でぃあなとあくてぃおん
18,タリスマン,タリスマン_(バレエ),Le Talisman,,たりすまん
19,チャイコフスキー・パ・ド・ドゥ,チャイコフスキー・パ・ド・ドゥ,Tschaikovsky Pas de Deux,,ちゃいこふすきー・ぱ・ど・どぅ
20,パリの炎,パリの炎,Flames of Paris,Пламя Парижа,ぱりのほのお
21,ヴェニスの謝肉祭,,Venetian Carnival,Венецианский карнавал,ゔぇにすのしゃにくさい
22,ライモンダ,ライモンダ,Raymonda,Раймонда,らいもんだ
23,ラ・シルフィード,ラ・シルフィード,La Sylphide,Сильфида,ら・しるふぃーど
24,ラ・フィーユ・マル・ガルデ,ラ・フィユ・マル・ガルデ,La Fille mal gardée,,ら・ふぃーゆ・まる・がるで
