id,program_id,japanese_notation,universal_notation
1,1,グラン・パ・ド・ドゥ,grand pas de deux
2,1,オディール Va,odile variation
3,1,オデット Va,odette variation
4,1,王子 Va,prince variation
5,1,グラン・アダージョ,pas de deux act 2
6,1,2羽の白鳥,big swans
7,1,4羽の白鳥,cygnets
8,1,パ・ド・トロワ,pas de trois
9,1,ロットバルト,rothbart
10,1,道化,jester
11,1,ベンノ,benno
12,2,グラン・パ・ド・ドゥ / 3幕,grand pas de deux
13,2,アリ Va,ali variation
14,2,メドーラ Va,medora variation
15,2,コンラッド Va,conrad variation
16,2,ランケデム Va,lankedem variation
17,2,グルナーラ Va,gulnara variation
18,2,奴隷のパ・ド・ドゥ,slave pas de deux
19,2,花園,flower garden
20,10,バルコニーシーン,balcony scene ballet
21,10,ジュリエット Va,juliet variation
22,10,マキューシオ Va,mercutio variation
