id,variation_program_id,title,japanese_notation,universal_notation
1,1,パ・ド･トロワ第1Va / 第1幕より,白鳥の湖 パ・ド・トロワ 第1,swan lake pas de trois 1st 
2,1,パ・ド･トロワ第2Va / 第1幕より,白鳥の湖 パ・ド・トロワ 第2,swan lake pas de trois 2nd 
3,1,パ・ド･トロワ男性Va / 第1幕より,白鳥の湖 パ・ド・トロワ 男性,swan lake pas de trois male 
4,1,オディールのVa / 第3幕より,オディール ,swan lake odile 
5,1,ジークフリード王子のVa / 第3幕より,白鳥の湖 王子 3幕 ,swan lake prince 
6,2,優しさの精のVa / プロローグより,優しさの精 ,sleeping beauty crystal fountain fairy 
7,2,元気の精のVa / プロローグより,元気の精 ,sleeping beauty Garden Enchanted Fairy 
8,2,鷹揚の精のVa / プロローグより,鷹揚の精 ,sleeping beauty Woodland Glade Fairy 
9,2,カナリアの精のVa / プロローグより,カナリアの精 ,sleeping beauty Fairy of Songbirds 
10,2,勇気の精のVa / プロローグより,勇気の精 ,sleeping beauty Golden Vine Fairy 
11,2,リラの精のVa / プロローグより,リラの精 ,sleeping beauty The Lilac Fairy 
12,2,オーロラ姫のVa / 第1幕より,オーロラ 1幕 ,aurora act1 
13,2,デジレ王子のVa / 第3幕より,眠れる森の美女 王子 ,sleeping beauty prince 
14,2,ブルーバードのVa / 第3幕より,青い鳥 男性,bluebird male 
15,2,フロリナのVa / 第3幕より,フロリナ ,Princess Florine 
16,2,オーロラ姫のVa / 第3幕より,オーロラ 3幕 ,sleeping beauty aurora act3 
17,3,金平糖の精のVa / 第2幕より,金平糖 ,Sugar Plum Fairy
18,3,王子のVa / 第2幕より,くるみ割り人形 王子 ,nutcracker prince
19,4,グルナーラのVa / 第1幕より,ギュリナーラ ,le corsaire Gulnara 
20,4,メドーラのVa / 第2幕より,メドーラ ,le corsaire Medora 
21,4,オダリスクの第1Va / 第3幕より,オダリスク 第1,le corsaire odalisque 1st 
22,4,オダリスクの第2Va / 第3幕より,オダリスク 第2,le corsaire odalisque 2nd 
23,4,オダリスクの第3Va / 第3幕より,オダリスク 第3,le corsaire odalisque 3rd 
24,5,ジゼルのVa / 第1幕より,ジゼル 1幕 ,Giselle act1 
25,5,ペザント女性のVa / 第1幕より,ペザント 女性,Giselle Peasant female 
26,5,ペザント男性のVa / 第1幕より,ペザント 男性,Giselle Peasant male 
27,6,エトワールのVa,パキータ エトワール ,Paquita Etoile 
28,6,トリリビのVa,トリリビ ,Trilby 
29,6,アルミードの館のVa,アルミードの館 ,Le Pavillon d’Armide 
30,6,パ・ド・トロワより第1Va,パキータ パ・ド・トロワ 第1,Paquita Pas de Trois 1st 
31,6,パ・ド・トロワより第2Va,パキータ パ・ド・トロワ 第2,Paquita Pas de Trois 2nd 
32,6,ソリスト第1Va,パキータ ソリスト 第1,Paquita no.1 
33,6,ソリスト第2Va,パキータ ソリスト 第2,Paquita no.2 
34,6,ソリスト第3Va,パキータ ソリスト 第3,Paquita no.3 
35,6,ソリスト第4Va,パキータ ソリスト 第4,Paquita no.4 
36,6,ソリスト第5Va,パキータ ソリスト 第5,Paquita no.5 
37,7,キトリのVa / 第1幕より,キトリ 1幕 ,Don Quixote Kitri act1 
38,7,キューピッドのVa / 第2幕より,キューピッド ,cupid 
39,7,森の女王のVa / 第2幕より,森の女王 ,Queen of the dryads 
40,7,ドルシネアのVa / 第2幕より,ドルシネア ,Dulcinea from Don Quixote 
41,7,キトリのVa / 第3幕より,キトリ 3幕 ,Kitri from Don Quixote act3 
42,7,バジルのVa / 第3幕より,バジル 3幕 ,Basil from Don Quixote act3 
43,8,スワニルダのVa / 第1幕より,スワニルダ 1幕 ,coppelia Swanilda act1 
44,8,スワニルダのVa / 第3幕より,スワニルダ 3幕 ,coppelia Swanilda act3 
45,8,フランツのVa / 第3幕より,フランツ 3幕 ,coppelia franz 
46,9,ガムザッティのVa / 第2幕より,ガムザッティ ,Gamzatti act2 
47,9,第1ソリストのVa / 第2幕より,ラ・バヤデール 第1,la bayadere shade 1rd 
48,9,第2ソリストのVa / 第2幕より,ラ・バヤデール 第2,la bayadere shade 2rd 
49,9,第3ソリストのVa / 第2幕より,ラ・バヤデール 第3,la bayadere shade 3rd 
50,10,ライモンダのVa / 第1幕より,ライモンダ 1幕 ,Raymonda act1 
51,10,ライモンダのVa / 第2幕より,ライモンダ 2幕 ,Raymonda act2 
52,10,ライモンダのVa / 第3幕より,ライモンダ 3幕 ,Raymonda act3 
53,11,「ラ・フィーユ・マル・ガルデ」/ リーズのVa,リーズ ,Lise 
54,11,「ラ・フィーユ・マル・ガルデ」/ コーラスのVa,コーラス ,la Fille Mal Gardee male 
55,11,「パリの炎」/ 女性Va,パリの炎 女性,Flames of Paris female 
56,11,「パリの炎」/ 男性Va,パリの炎 男性,Flames of Paris male 
57,11,「タリスマン」/ ニリチのVa,タリスマン ニリチ ,talisman Niriti 
58,11,「タリスマン」/ 男性Va,タリスマン 男性,talisman male 
59,11,「アレルキナーダ」/ コロンビーヌのVa,コロンビーヌ ,Harlequinade female 
60,11,「アレルキナーダ」/ 男性Va,アレルキナーダ 男性,Harlequinade male 
61,11,「エスメラルダ」/ エスメラルダのVa,エスメラルダ ,Esmelarda 
62,11,「エスメラルダ」/ 男性Va,エスメラルダ 男性,Esmelarda male 
63,11,「ディアナとアクティオン」/ ダイアナのVa,ダイアナ ,Diana 
64,11,「ディアナとアクティオン」/ アクティオンのVa,アクティオン ,Acteon male 
65,11,「ラ・シルフィード」/ ジェームスのVa,ラ・シルフィード ジェームズ ,La Sylphide James 
66,11,「ゼンツァーノの花祭り」/ 女性Va,ゼンツァーノの花祭り 女性,Flower festival Genzano female 
67,11,「ゼンツァーノの花祭り」/ 男性Va,ゼンツァーノの花祭り 男性,Flower festival Genzano male 
68,11,「グラン・パ・クラシック」女性Va,グラン・パ・クラシック 女性,Grand pas classique female 
69,11,「グラン・パ・クラシック」男性Va,グラン・パ・クラシック 男性,Grand pas classique male 
70,11,「フェアリードール」/ 人形の精のVa,人形の精 ,Fairy Doll from Fairy Doll 
71,11,「ファラオの娘」/ アスピシアのVa,ファラオの娘 ,Aspicia from Pharaoh’s daughter 
72,11,「ヴェニスの謝肉祭」/ サタネラ女性のVa,サタネラ ,Satanella 
73,11,「ヴェニスの謝肉祭」/ サタネラ男性のVa,サタネラ 男性,Satanella male 
74,11,「フローラの目覚め」/ フローラのVa,フローラの目覚め ,Flora from Flora's Awakening 
